table,variable,ES,EN
per.ppal,ID_RESI_DANO,Relación entre residencia en 2011 y actual ,Relationship between residence in 2011 and current residence 
per.ppal,ID_RESI_NACIM,Relación entre lugar de nacimiento y residencia,Relationship between place of birth and residence
per.ppal,ID_RESI_UNANO,Relación entre residencia en 2020 y actual,Relationship between residence in 2020 and current residence 
per.ppal,ID_RESIDENCIA_N1,CC.AA. de residencia,Autonomous Community
per.ppal,ID_RESIDENCIA_N2,Provincia de residencia,Province of residence
per.ppal,ID_RESIDENCIA_N3,Municipio de residencia,Municipality of residence
per.ppal,ID_RESIDENCIA_N4,Distrito ,District 
per.ppal,ID_RESIDENCIA_N5,Sección ,Section
per.ppal,ID_SEXO,Sexo,Sex
per.ppal,ID_TAM_MUN_11,Tamaño de municipio de residencia,Size of municipality of residence
per.ppal,ID_TAM_MUN_12,Tamaño de municipio de nacimiento,Size of municipality of birth
per.ppal,ID_TAM_MUN_ANT_12,Tamaño de municipio de residencia anterior,Size of municipality previous residence
per.ppal,ID_TAMANO_MUN_DANO,Tamaño de municipio de residencia en 2011,Size of municipality of residence in 2011
per.ppal,ID_TAMANO_MUN_EST,Tamaño del municipio de estudio,Size of municipality of study
per.ppal,ID_TAMANO_MUN_PR,Tamaño de municipio de procedencia,Size of municipality of origin
per.ppal,ID_TAMANO_MUN_UNANO,Tamaño de municipio de residencia en 2020,Size of municipality of residence in 2020
per.ppal,ID_TESCUR,Tipo de estudios en curso,Field of studies in progress
per.ppal,ID_TIPO_MUN_DEGURBA,Tipo de municipio según grado de urbanización,Type of municipality according to degree of urbanization
per.ppal,ID_ULT_RESI_ANT_N1,CC.AA. de residencia anterior,Previous Autonomous Community of residence
per.ppal,ID_ULT_RESI_ANT_N2,Provincia de residencia anterior,Previous Province of residence
per.ppal,ID_ULT_RESI_ANT_N3,Municipio de residencia anterior,Previous Municipality of residence
per.ppal,ID_VARANOC,Año de llegada a la CC.AA.,Year of arrival to the Autonomous Community
per.ppal,ID_VARANOE,Año de llegada a España,Year of arrival to Spain
per.ppal,ID_VARANOM,Año de llegada al municipio,Year of arrival in the municipality
per.ppal,ID_VARANOP,Año de llegada a la provincia ,Year of arrival to the province 
per.ppal,ID_VARANORES,Año de llegada a la vivienda,Year of arrival to the dwelling
viv.fam,ID_ANO_CONS,Año de construcción (todo),Year of construction (detail)
viv.fam,ID_ANO_CONS_GR11,Año de construcción (agregado),Year of construction  (aggregated)
viv.fam,ID_CLASE_VIV_FAM,Clase de vivienda familiar,Class of main family dwelling
viv.fam,ID_NPLANTAS_BAJO_EDIF,Número plantas bajo rasante,Number of floors below ground level
viv.fam,ID_NPLANTAS_SOBRE_EDIF,Número plantas sobre rasante,Number of floors above ground level
viv.fam,ID_RESIDENCIA_N1,CC.AA. de residencia,Autonomous Community
viv.fam,ID_RESIDENCIA_N2,Provincia de residencia,Province of residence
viv.fam,ID_RESIDENCIA_N3,Municipio de residencia,Municipality of residence
viv.fam,ID_RESIDENCIA_N4,Distrito ,District 
viv.fam,ID_RESIDENCIA_N5,Sección ,Section
viv.fam,ID_SUP_OCU_VIV,Superficie por ocupante,Useful floor space per occupant
viv.fam,ID_SUP_VIV,Superficie ,Useful floor space
viv.fam,ID_TAM_HOG_6,Tamaño del hogar,Size of the household 
viv.fam,ID_TAM_MUN_VIV,Tamaño de municipio de residencia,Size of municipality of residence
viv.fam,ID_TENEN_VIV,Régimen de tenencia de la vivienda,Tenure status of dwelling 
viv.fam,ID_TIPO_EDIF_VIV,Tipo de viviendas según tipo de edificio ,Type of dwellings according to type of building 
viv.fam,ID_TIPO_MUN_DEGURBA,Tipo de municipio según grado de urbanización,Type of municipality according to degree of urbanization
viv.fam,ID_TIPO_VIV_USO,Tipo de vivienda según uso,Class of family dwelling according to use
viv.ppal,ID_ACT22,Actividad establecimiento a 1 letra CNAE-09,Economic activity at 1 letter CNAE-09
viv.ppal,ID_ACT273,Actividad establecimiento a 3 dígitos CNAE-09,Economic activity3-digit CNAE-09
viv.ppal,ID_ACT5,Actividad establecimiento (rama),Economic activity  (branch)
viv.ppal,ID_ACT89,Actividad establecimiento a 2 dígitos CNAE-09,Economic activity 2-digit CNAE-09
viv.ppal,ID_CLASE_VIV,Clase de vivienda,Class of Dwelling
viv.ppal,ID_EDAD,Edad año a año,Age year to year
viv.ppal,ID_ESCUR,Nivel más alto de la enseñanza principal que cursa,Highest level of the primary studies in course
viv.ppal,ID_ESCUR2,Nivel más alto de otras enseñanzas,si cursa más de una,Highest level of other studies,if more than one is being pursued
viv.ppal,ID_ESREAL_CNEDA,Nivel de estudios (detalle),Educational attainment (detail)
viv.ppal,ID_ESREAL_GR5,Nivel de estudios (grado),Educational attainment (grade)
viv.ppal,ID_ESTADO_CIVIL,Estado Civil,Legal Marital Status
viv.ppal,ID_GRAN_GRUPO_EDAD,Edad en grandes grupos,Age in large groups
viv.ppal,ID_GRUPO_Q_EDAD,Edad (grupos quinquenales),Age (five-year groups)
viv.ppal,ID_L_EST8,Lugar de estudio,Place of study
viv.ppal,ID_L_TRAB7,Lugar de trabajo,Place of work
viv.ppal,ID_LUGAR_EST_N1,CC.AA. de estudio,Autonomous Community of study
viv.ppal,ID_LUGAR_EST_N2,Provincia de estudio,Province of study
viv.ppal,ID_LUGAR_EST_N3,Municipio de estudio,Municipality of study
viv.ppal,ID_LUGAR_NAC_EXT_N1,Lugar de nacimiento (España/Extranjero),Place of birth (Spain/abroad)
viv.ppal,ID_LUGAR_NAC_EXT_N2,País de nacimiento (grandes grupos),Country of birth (large groups)
viv.ppal,ID_LUGAR_NAC_EXT_N3,País de nacimiento,Country of birth
viv.ppal,ID_LUGAR_NAC_NAC_N1,CC.AA. de nacimiento,Autonomous Community of birth
viv.ppal,ID_LUGAR_NAC_NAC_N2,Provincia de nacimiento,Province of birth
viv.ppal,ID_LUGAR_NAC_NAC_N3,Municipio de nacimiento,Municipality of birth
viv.ppal,ID_LUGAR_TRAB_N1,CC.AA. de trabajo,Autonomous Community of work
viv.ppal,ID_LUGAR_TRAB_N2,Provincia de trabajo,Province of work
viv.ppal,ID_LUGAR_TRAB_N3,Municipio de trabajo,Municipality of work
viv.ppal,ID_NACIONALIDAD_N1,Nacionalidad (española/extranjera),Nationality (Spanish/foreign)
viv.ppal,ID_NACIONALIDAD_N2,Nacionalidad (grandes grupos),Nationality (large groups)
viv.ppal,ID_NACIONALIDAD_N3,País de nacionalidad,Country of nationality
viv.ppal,ID_OCU11,Ocupación a 1 dígito CNO-11,1-digit occupation CNO-11
viv.ppal,ID_OCU171,Ocupación a 3 dígitos CNO-11,3-digit occupation CNO-11
viv.ppal,ID_OCU63,Ocupación a 2 dígitos CNO-11,2-digit occupation CNO-11
viv.ppal,ID_PAIS_PR_GR9,País de procedencia (grandes grupos),Country of origin (large groups)
viv.ppal,ID_RESI_NACIM,Relación entre lugar de nacimiento y residencia,Relationship between place of birth and residence
viv.ppal,ID_RESIDENCIA_N1,CC.AA. de residencia,Autonomous Community
viv.ppal,ID_RESIDENCIA_N2,Provincia de residencia,Province of residence
viv.ppal,ID_RESIDENCIA_N3,Municipio de residencia,Municipality of residence
viv.ppal,ID_RESIDENCIA_N4,Distrito ,District 
viv.ppal,ID_RESIDENCIA_N5,Sección ,Section
viv.ppal,ID_SEXO,Sexo,Sex
viv.ppal,ID_SITU,Situación profesional,Status in employment
viv.ppal,ID_TAM_MUN_11,Tamaño de municipio de residencia,Size of municipality of residence
viv.ppal,ID_TAM_MUN_12,Tamaño de municipio de nacimiento,Size of municipality of birth
viv.ppal,ID_TAMANO_MUN_EST,Tamaño del municipio de estudio,Size of municipality of study
viv.ppal,ID_TAMANO_MUN_TRAB,Tamaño del municipio de trabajo,Size of municipality of work
viv.ppal,ID_TESCUR,Tipo de estudios en curso,Field of studies in progress
viv.ppal,ID_TIPO_MUN_DEGURBA,Tipo de municipio según grado de urbanización,Type of municipality according to degree of urbanization
viv.ppal,ID_VARANOE,Año de llegada a España,Year of arrival to Spain
